,zip1,zip1_value,zip2,zip2_value
427,11228,0.0,10107,0.0
428,11228,0.0,11251,0.0
429,11228,1.0,11436,109.0
430,11228,4.0,11356,11.0
431,11228,1.0,11697,1.0
432,11228,0.0,10172,0.0
433,11228,2.0,10470,10.0
434,11228,0.0,10041,0.0
435,11228,1.0,10278,1.0
436,11228,0.0,10106,0.0
437,11228,1.0,11428,1.0
438,11228,1.0,10286,1.0
439,11228,0.0,10279,0.0
440,11228,0.0,10103,0.0
441,11228,0.0,10196,0.0
442,11228,0.0,10154,0.0
443,11228,39.0,10119,2.0
444,11228,40.0,10464,17.0
445,11228,1.0,10166,2.0
446,11228,0.0,10203,0.0
447,11228,0.0,11359,0.0
448,11228,1.0,10177,1.0
449,11228,2.0,11692,4.0
450,11228,1.0,11423,1.0
451,11228,0.0,10175,0.0
452,11228,6.0,11419,20.0
453,11228,0.0,10285,0.0
454,11228,0.0,10045,0.0
455,11228,0.0,10270,0.0
456,11228,0.0,10123,0.0
457,11228,0.0,11005,0.0
458,11228,0.0,10170,0.0
459,11228,0.0,10115,0.0
460,11228,0.0,10104,0.0
461,11228,1.0,11363,1.0
462,11228,0.0,10105,0.0
463,11228,1.0,10120,14.0
464,11228,0.0,10265,0.0
465,11228,0.0,10259,0.0
466,11228,1.0,11004,5.0
467,11228,0.0,10112,0.0
468,11228,0.0,10047,0.0
469,11228,0.0,10122,0.0
470,11228,0.0,10110,0.0
471,11228,0.0,10080,0.0
472,11228,0.0,10271,0.0
473,11228,0.0,11001,0.0
474,11228,0.0,10055,0.0
475,11228,0.0,10168,0.0
476,11228,0.0,10081,0.0
477,11228,0.0,10173,0.0
478,11228,0.0,10158,0.0
479,11228,1.0,10176,1.0
480,11228,0.0,10171,0.0
481,11228,0.0,10178,0.0
482,11228,0.0,10151,0.0
483,10310,729.0,10310,729.0
484,10310,79.0,11209,235.0
485,10310,197.0,10301,265.0
486,10310,62.0,11232,212.0
487,10310,45.0,11214,197.0
488,10310,34.0,11224,64.0
489,10310,163.0,10314,1271.0
490,10310,63.0,11430,105.0
491,10310,27.0,11361,43.0
492,10310,33.0,11432,160.0
493,10310,13.0,11233,24.0
494,10310,33.0,11373,231.0
495,10310,12.0,11691,16.0
496,10310,28.0,11377,246.0
497,10310,15.0,11223,29.0
498,10310,12.0,11237,28.0
499,10310,12.0,11212,70.0
500,10310,12.0,11206,25.0
501,10310,11.0,11360,29.0
502,10310,32.0,11372,109.0
503,10310,24.0,11104,25.0
504,10310,14.0,11207,58.0
505,10310,34.0,11368,379.0
